shop;year;month;title;author;ASIN;transaction;sales;returned;sold_or_lent;lending_rate;avg_list_price;avg_sale_price;file_size;shipping;royalties
Amazon.com;2014;10;Introducción a JavaScript;Juan Julián Merelo Guervós;B00HXL8QA0;Estándar;8;1;7;;1,03;N/A;0,33;N/A;2,57
Amazon.com;2014;10;Introducción a JavaScript;Juan Julián Merelo Guervós;B00HXL8QA0;Unidades KU/KOLL;N/A;N/A;2;;N/A;N/A;N/A;N/A;2,66
Amazon.com;2014;10;Aprende Git;Ángel Pablo Hinojosa Gutiérrez;B00K515GL2;Estándar;8;;8;;0,99;N/A;1,00;N/A;2,80
Amazon.com;2014;10;La Cuarta Taifa;JJ Merelo;B00NEODWJK;Estándar;1;;1;;0,99;N/A;0,40;N/A;0,35
Amazon.es;2014;10;Introducción a JavaScript;Juan Julián Merelo Guervós;B00HXL8QA0;Estándar;13;;13;;0,86;N/A;0,33;N/A;3,90
Amazon.es;2014;10;#slash: entre profesionales;Juan Julián Merelo Guervós;B00IVTNGBC;Estándar;1;;1;;0,86;N/A;0,24;N/A;0,30
Amazon.es;2014;10;Aprende Git;Ángel Pablo Hinojosa Gutiérrez;B00K515GL2;Estándar;32;;32;;0,93;N/A;1,00;N/A;10,56
Amazon.es;2014;10;#slash: El fin del capítulo;Juan Julián Merelo Guervós;B00KUWR20O;Estándar;1;;1;;0,89;N/A;0,25;N/A;0,31
Amazon.es;2014;10;Una esquina en Nueva York;Juan Julián Merelo Guervós;B00MRANX32;Estándar;1;;1;;0,92;N/A;0,28;N/A;0,32
Amazon para México;2014;10;Introducción a JavaScript;Juan Julián Merelo Guervós;B00HXL8QA0;Estándar;1;;1;;12,84;N/A;0,33;N/A;4,49
Amazon.com;;;Introducción a JavaScript;Juan Julián Merelo Guervós;B00HXL8QA0;Estándar;4;;4;;0,99;N/A;0,33;N/A;1,40
Amazon.com;;;Aprende Git;Ángel Pablo Hinojosa Gutiérrez;B00K515GL2;Estándar;4;;4;;1,06;N/A;1,00;N/A;1,49
Amazon.com;;;Una esquina en Nueva York;Juan Julián Merelo Guervós;B00MRANX32;Estándar;2;;2;;1,10;N/A;0,28;N/A;0,77
Amazon.de;;;Antalayología;Juan Julián Merelo Guervós;B006JUNQNI;Estándar;1;;1;;0,86;N/A;0,26;N/A;0,30
Amazon.de;;;Aprende Git;Ángel Pablo Hinojosa Gutiérrez;B00K515GL2;Estándar;1;;1;;0,93;N/A;1,00;N/A;0,33
Amazon.es;;;Historia Lógico Natural;Juan Julián Merelo Guervós;B00CLOF224;Estándar;7;;7;;0,96;N/A;0,53;N/A;2,38
Amazon.es;;;Introducción a JavaScript;Juan Julián Merelo Guervós;B00HXL8QA0;Estándar;11;;11;;0,86;N/A;0,33;N/A;3,30
Amazon.es;;;Aprende Git;Ángel Pablo Hinojosa Gutiérrez;B00K515GL2;Estándar;33;1;32;;0,93;N/A;1,00;N/A;10,56
Amazon.es;;;Una esquina en Nueva York;Juan Julián Merelo Guervós;B00MRANX32;Estándar;7;;7;;0,92;N/A;0,28;N/A;2,24
Amazon para México;;;Introducción a JavaScript;Juan Julián Merelo Guervós;B00HXL8QA0;Estándar;1;;1;;12,84;N/A;0,33;N/A;4,49
